Filip Mladenović;14:24;1641,18;2,07;620,82;609,18;228,73;96,11;84,27;15;29,03;6,84;646,61;52,95;84,27;11;628,95;43,17;0,0;6;365,56;0,0;0,0;0;Legia Warszawa;https://www.transfermarkt.pl/filip-mladenovic/profil/spieler/168063
Krzysztof Kamiński;95:41;5425,15;47,07;3630,04;1460,04;243,3;44,7;0,0;4;25,74;3,4;1928,17;0,0;0,0;0;2101,01;44,7;0,0;4;1395,97;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/krzysztof-kaminski/profil/spieler/172874
Damian Zbozień;95:41;11933,35;75,22;3657,64;4943,35;2214,76;838,01;204,37;72;32,29;7,48;4169,18;415,88;39,14;32;4722,07;381,84;147,84;41;3042,03;40,29;17,39;7;Wisła Płock;https://www.transfermarkt.pl/damian-zbozien/profil/spieler/53742
Jakub Rzeźniczak;95:41;10402,28;7,08;3843,08;4248,46;1616,2;563,89;123,57;42;31,53;6,52;3331,95;136,55;15,89;14;4452,29;416,03;107,68;36;2618,05;11,32;0,0;2;Wisła Płock;https://www.transfermarkt.pl/jakub-rzezniczak/profil/spieler/24576
Piotr Tomasik;95:41;10654,54;48,28;3822,74;4439,9;1388,41;624,48;330,73;62;32,61;6,68;3685,68;226,0;165,56;30;4385,4;394,0;165,17;38;2583,43;4,48;0,0;1;Wisła Płock;https://www.transfermarkt.pl/piotr-tomasik/profil/spieler/84918
Anton Krywociuk;95:41;10279,93;4,09;3900,28;4518,37;1441,08;309,33;106,78;28;31,91;6,45;3544,07;83,49;9,23;9;4375,16;225,84;97,54;22;2360,56;0,0;0,0;0;Wisła Płock;nie udało się znaleźć linku
Dusan Lagator;45:37;5987,12;17,11;1491,47;2880,39;1347,29;182,82;68,04;15;29,42;7,87;2049,72;7,78;2,39;4;2687,62;175,04;65,65;15;1249,7;0,0;0,0;1;Wisła Płock;https://www.transfermarkt.pl/dusan-lagator/profil/spieler/246831
Dawid Kocyła (M);77:46;9706,26;115,16;3234,51;3813,49;1487,57;668,2;387,33;69;32,3;7,49;3456,37;359,52;305,87;44;3789,1;300,79;81,45;33;2460,68;6,84;0,0;1;Wisła Płock;https://www.transfermarkt.pl/dawid-kocyla/profil/spieler/605780
Rafał Wolski;77:59;8447,56;6,97;3187,23;3040,97;1429,08;665,33;117,98;56;29,8;6,5;3164,61;411,3;62,59;37;3300,28;252,88;56,55;28;1982,63;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/rafal-wolski/profil/spieler/176514
Damian Rasak;95:41;11125,32;47,69;3624,2;4448,85;2186,21;712,04;106,33;61;31,72;6,98;3671,89;225,78;11,54;16;5129,65;486,25;94,79;47;2323,77;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/damian-rasak/profil/spieler/255910
